id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,densidad_habitacional,superficie_por_vivienda,densidad_poblacional,espacio_vital,indice_cohabitacional
1,Monterrey I,Buenos Aires,Pilar,Presidente Derqui,40,44,Década 1990,,Conexión regular a la red con medidor prepago,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,11674,0.0034264176803152305,291.85,0.0037690594483467533,265.3181818181818,1.1
2,Malvinas II,Buenos Aires,La Plata,José Melchor Romero,290,319,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,98093,0.002956378130957357,338.25172413793103,0.0032520159440530927,307.5015673981191,1.1
3,Ferroviario,Buenos Aires,La Plata,Angel Etcheverry,133,146,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,75887,0.0017526058481689881,570.578947368421,0.0019239131867118215,519.7739726027397,1.0977443609022557
4,La Favelita,Buenos Aires,La Plata,Tolosa,122,134,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36889,0.0033072189541597766,302.3688524590164,0.003632519179159099,275.2910447761194,1.098360655737705
5,Casaca,Buenos Aires,La Plata,City Bell,20,22,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,25768,0.000776156473144986,1288.4,0.0008537721204594847,1171.2727272727273,1.1
6,La Güemes,Buenos Aires,La Plata,Manuel B. Gonnet,12,13,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,3424,0.0035046728971962616,285.3333333333333,0.003796728971962617,263.38461538461536,1.0833333333333333
7,8 y 489,Buenos Aires,La Plata,Manuel B. Gonnet,23,25,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,12698,0.001811308867538195,552.0869565217391,0.0019688139864545598,507.92,1.0869565217391304
8,La Fábrica,Buenos Aires,La Plata,Gorina,200,220,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,55095,0.003630093474906979,275.475,0.003993102822397677,250.4318181818182,1.1
10,Hijos de Malvinas,Buenos Aires,La Plata,José Melchor Romero,110,121,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,37429,0.002938897646210158,340.26363636363635,0.0032327874108311738,309.3305785123967,1.1
11,514 y 138,Buenos Aires,La Plata,José Hernández,59,65,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,42326,0.0013939422577139346,717.3898305084746,0.0015356990974814534,651.1692307692308,1.1016949152542372
12,Villa Rica,Buenos Aires,La Plata,Villa Elisa,54,59,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,31824,0.0016968325791855204,589.3333333333334,0.0018539467068878833,539.3898305084746,1.0925925925925926
13,El Progreso,Buenos Aires,La Plata,Villa Elisa,58,64,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,18842,0.0030782294873155716,324.86206896551727,0.003396667020486148,294.40625,1.103448275862069
14,El Rincón I,Buenos Aires,La Plata,Arturo Seguí,58,64,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30138,0.0019244807220120778,519.6206896551724,0.002123564934634017,470.90625,1.103448275862069
15,La Fortaleza,Buenos Aires,La Plata,Villa Elisa,165,182,Década 1950,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,89277,0.0018481803824053227,541.0727272727273,0.0020385989672592046,490.532967032967,1.103030303030303
16,El Canario,Buenos Aires,Almirante Brown,Burzaco,1350,1485,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,267128,0.0050537570003893265,197.87259259259258,0.005559132700428259,179.8841750841751,1.1
17,Vieja Estación,Buenos Aires,La Plata,José Melchor Romero,30,33,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30192,0.0009936406995230524,1006.4,0.0010930047694753576,914.9090909090909,1.1
18,El Triángulo,Buenos Aires,La Plata,Lisandro Olmos,100,110,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,20890,0.004786979415988511,208.9,0.005265677357587362,189.9090909090909,1.1
19,Campo Ramos,Buenos Aires,Almirante Brown,Longchamps,200,220,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,452300,0.00044218439089100157,2261.5,0.0004864028299801017,2055.909090909091,1.1
20,Laprida,Buenos Aires,Quilmes,Quilmes,217,239,Década 2000,,Conexión a la red con medidor comunitario,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Villa,31255,0.0069428891377379615,144.03225806451613,0.0076467765157574785,130.77405857740587,1.1013824884792627
21,El Rincón II,Buenos Aires,La Plata,Arturo Seguí,140,154,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,48211,0.002903901599220095,344.3642857142857,0.0031942917591421044,313.0584415584416,1.1
